Numero,Alimento,Umidade,Calorias,Proteína,Lipídeos,Colesterol,Carboidrato,Cálcio,Sódio,Tipo,Doencas_Restritivas,Refeicao_Indicada
1,"Arroz, integral, cozido",70.13866666666667,123,2.58825,1.0003333333333333,0.0,25.80975,5.204,1.2446666666666666,Cereais e derivados,Obesidade,Lanche da Tarde
0,"Arroz, integral, cru",12.179833333333335,359,7.323285869565217,1.8648333333333333,0.0,77.45071413043479,7.818000000000001,1.6456666666666666,Cereais e derivados,Diabetes Tipo 1,Lanche da Tarde
0,"Arroz, tipo 1, cozido",69.11366666666667,128,2.5208166666666667,0.22699999999999998,0.0,28.059849999999994,3.544333333333334,1.2006666666666665,Cereais e derivados,Diabetes Tipo 1,Jantar
0,"Arroz, tipo 1, cru",13.224499999999999,357,7.158539855072464,0.335,0.0,78.75954347826087,4.414333333333333,1.0191666666666666,Cereais e derivados,Obesidade,Almoço
0,"Arroz, tipo 2, cozido",68.72766666666666,130,2.568416666666667,0.36166666666666664,0.0,28.19258333333333,3.3336666666666663,1.959666666666667,Cereais e derivados,Osteoporose,Lanche da Tarde
0,"Arroz, tipo 2, cru",13.164749999999998,358,7.241882971014494,0.2755,0.0,78.88145036231883,4.8335,0.5688333333333334,Cereais e derivados,Nenhuma,Almoço
0,"Aveia, flocos, crua",9.133333333333333,393,13.921026086956523,8.496666666666666,0.0,66.63564057971016,47.89,4.626666666666667,Cereais e derivados,Colesterol Alto,Lanche da Tarde
0,"Biscoito, doce, maisena",3.216666666666667,442,8.072521739130433,11.966666666666669,0.0,75.23414492753622,54.45,352.02666666666664,Cereais e derivados,Doenças Cardíacas,Lanche da Tarde
0,"Biscoito, doce, recheado com chocolate",2.183333333333333,471,6.397217391304348,19.583333333333332,0.0,70.54944927536232,27.23,239.2,Cereais e derivados,Nenhuma,Lanche da Tarde
0,"Biscoito, doce, recheado com morango",2.733333333333334,471,5.719826086956521,19.573333333333334,0.0,71.01350724637682,35.78,229.8166666666667,Cereais e derivados,Insuficiência Renal,Café da Manhã
0,"Biscoito, doce, wafer, recheado de chocolate",1.17,502,5.564521739130435,24.673333333333332,0.0,67.53547826086955,23.343333333333334,137.24,Cereais e derivados,Diabetes Tipo 2,Jantar
0,"Biscoito, doce, wafer, recheado de morango",1.1733333333333333,513,4.517043478260871,26.4,1.2673333333333334,67.35295652173913,13.706666666666665,119.9,Cereais e derivados,Insuficiência Renal,Café da Manhã
0,"Biscoito, salgado, cream cracker",4.056666666666667,431,10.055130434782608,14.436666666666667,0.0,68.73153623188405,20.003333333333334,854.3566666666667,Cereais e derivados,Diabetes Tipo 2,Lanche da Tarde
